"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
536;384;736;531;366;1177
1221;712;1530;1404;743;2808
1581;735;1469;1135;764;2938
83;36;55;55;43;154
972;439;1130;1098;462;2084
612;337;574;502;318;1229
5364;2728;5773;4314;3075;11601
0;0;3;0;0;4
1088;665;1523;1349;799;3421
184;174;235;151;197;593
33;19;46;34;24;99
864;499;882;691;443;1836
8768;4283;9540;6485;4540;18950
1847;702;1795;1412;934;3315
524;283;617;534;290;1268
64;63;73;126;32;120
2887;1350;2985;2410;1179;4306
416;236;455;340;202;880
0;0;0;0;0;2
118;78;145;103;44;290
1207;742;1517;1034;680;2531
1847;908;1926;1895;956;3825
2;4;2;6;0;13
2562;1724;2779;2681;1290;5066
0;0;0;0;0;0
3154;1691;3349;2892;1618;6550
1590;842;1836;1606;1108;4470
0;0;1;0;0;0
0;2;0;0;0;0
416;214;418;438;196;899
1128;623;1358;1069;694;2625
3201;1673;3594;2472;1774;7723
0;4;0;0;0;0
28;21;81;38;18;124
1634;937;1961;1411;841;3554
257;91;267;223;134;557
363;165;434;320;223;949
6759;2639;6673;7194;3471;12328
3637;2097;4196;3795;1942;6917
433;281;626;158;108;486
123;78;126;94;70;206
0;0;0;0;0;0
144;39;162;135;88;251
11526;5269;11666;9736;5939;21037
4154;1658;4457;4016;2020;8458
870;520;1120;827;561;2572
1215;738;1232;1190;638;2353
799;518;1130;934;654;2291
3106;1469;3238;2438;1573;5867
21;30;39;14;18;69
0;0;0;0;0;0
4221;1854;4569;4526;2480;9454
35;6;34;22;18;57
656;340;743;657;367;1180
4683;2368;4753;3702;2492;9365
8;4;5;9;2;20
160;120;260;105;119;585
1471;693;1587;1607;739;2847
4609;2166;4991;4006;2096;8171
12705;6322;10335;8376;4378;13913
3281;1500;3346;3503;1751;6538
1862;958;2459;1661;1092;4722
5;1;0;10;1;23
21420;10450;24102;19984;12421;54425
47;18;31;28;26;93
31;8;31;17;18;49
189;130;273;233;157;619
11353;4711;13425;10186;6958;29418
166;80;174;173;89;427
717;404;1068;696;571;2388
5247;2744;6579;4535;3165;12518
1282;943;1704;1102;855;3565
1438;838;1610;1381;824;3273
1;0;3;3;1;0
0;0;0;0;0;0
474;298;520;476;244;990
1347;582;1381;1045;610;2480
1889;1425;2868;1467;1228;5005
128;73;152;127;81;326
1258;586;1630;1234;705;3239
2364;1349;2669;2366;1285;5349
1609;732;1480;1773;954;3173
4020;2006;4055;3692;1883;7156
2606;1350;2657;2610;1407;5212
3749;1899;4281;2998;2056;8953
67;29;45;1;0;0
284;142;280;214;143;542
6;0;0;0;2;4
1549;1111;3022;1422;1158;6140
172;149;266;202;103;566
44;27;62;29;32;110
2;0;4;2;0;8
4;7;11;13;2;32
581;321;675;448;331;1325
2583;1293;2711;2295;1323;4849
833;599;919;479;342;1660
1978;849;2239;1982;1228;4462
8;3;5;7;2;2
1764;987;2046;1933;987;4383
1432;734;2071;1498;942;3923
381;194;475;323;260;1151
2495;1549;2462;2005;1282;5272
7360;3708;7770;6846;4382;15359
1956;796;2060;1470;836;3601
804;484;903;946;455;1793
0;0;0;0;0;1
3853;2126;4308;2096;1431;5892
275;170;325;301;194;656
1;0;2;0;2;2
1153;502;1114;996;594;2184
5611;2987;6432;5017;2783;12168
324;182;345;237;129;588
24;44;28;20;23;82
0;0;5;3;2;2
2;0;1;9;0;4
1708;954;1927;1445;780;2674
891;429;1076;1036;580;2317
2273;1956;3123;2044;1530;6835
52;10;33;25;35;82
1378;528;1668;1057;727;3175
685;391;702;593;431;1461
5078;3209;5648;4828;2881;10241
760;348;816;829;507;1792
571;409;638;534;357;1486
455;199;662;372;369;1442
1991;884;1908;2691;1008;3584
10602;4749;11883;9399;5681;21901
7934;3734;8366;6848;4012;16078
4232;1667;4445;2923;2087;8268
